rental_id,predictions
7428577,2545.604429838997
7454944,2953.070806169412
7473595,2747.548098476086
7490488,2961.94059861313
7460896,2759.3744884010434
7479988,2751.5939687135715
7496308,3364.2718319498135
7468621,2556.3415470077084
7430797,2742.724176269853
7440397,2743.813449026099
7460575,2746.147604932341
7516792,3146.144682362783
7464880,2545.604429838997
7461787,2949.8029879006735
7444351,3146.7671239377805
7438162,3145.211020000286
7519777,2540.780507632764
7459570,2759.218878007294
7443688,2742.4129554823544
7483843,2754.0837350135625
7429615,2743.813449026099
7513213,2946.846390419434
7521061,2945.29028648194
7524166,2757.818384463549
7476664,2961.94059861313
7505905,2948.5581047506785
7471858,2962.0962090068797
7438210,2943.5785721506963
7469329,2760.619371551039
7497715,2747.236877688587
7525612,3357.2693642310887
7506082,3351.667390056109
7518844,5935.407847550582
7487068,2742.1017346948556
7506070,2753.928124619813
7506982,2952.9151957756626
7525636,2751.5939687135715
7438000,2948.5581047506785
7474420,3148.323227875275
7501327,2759.530098794793
7511602,2948.5581047506785
7511695,2945.1346760881906
7489489,6122.1016976002265
7504576,2948.5581047506785
7473469,2745.369552963594
7440115,2758.129605251048
7488367,2946.846390419434
7488583,2554.163001495216
7490770,6339.60640561226
7485796,6325.134638993561
7453882,9300.469212656008
7511338,2545.604429838997
7477789,3149.1012798440224
7487923,2745.369552963594
7428727,2948.402494356929
7450042,2745.369552963594
7467187,2545.604429838997
7506097,2948.402494356929
7491934,2942.178078606951
7525975,2947.6244423881817
7440988,2759.9969299760414
7484119,2648.0744344205073
7524019,2557.8976509452027
7481239,2939.2214811257118
7506925,2754.550566194811
7437361,2746.925656901088
7467931,9112.530479456367
7502617,2943.5785721506963
7451377,2759.9969299760414
7466254,5924.515119988122
7451821,2945.29028648194
7471615,5722.415840957283
7456258,2953.070806169412
7498273,2747.0812672948377
7445536,6325.134638993561
7456645,9298.913108718512
7457617,2747.0812672948377
7461331,3155.0144748065013
7497193,2543.892715507753
7486321,3149.72372141902
7517539,5920.624860144386
7493233,2943.889792938195
7461916,2747.0812672948377
7446025,2545.4488194452474
7483837,2540.780507632764
7494448,2742.4129554823544
7439092,2544.3595466890015
7517530,2943.889792938195
7500637,2745.213942569844
7463473,6123.657801537721
7503820,2746.925656901088
7524190,2746.925656901088
7459609,2945.29028648194
7479592,2745.9919945385914
7474213,2745.9919945385914
7499800,2945.601507269439
7516108,2545.604429838997
7468903,2949.336156719425
7486561,5723.038282532281
7473241,2748.3261504448333
7475488,5922.959016050627
7474624,2545.604429838997
7503712,3364.2718319498135
7495702,2543.892715507753
7468450,5936.652730700578
7483867,2559.1425340951982
7441468,5920.624860144386
7502176,3145.3666303940354
7517236,2753.150072651066
7485220,2961.162546644383
7462309,2948.5581047506785
7430926,5934.162964400587
7490167,2948.402494356929
7523230,2557.1195989764556
7505536,2760.1525403697906
7504156,2745.369552963594
7510546,2751.9051895010703
7428880,2747.0812672948377
7444117,2545.1375986577486
7491079,2743.813449026099
7457983,2746.147604932341
7503160,6118.21143775649
7485004,2949.180546325676
7440010,2742.1017346948556
7498330,2945.29028648194
7506850,5937.275172275576
7467988,2745.836384144842
7498228,2946.0683384506874
7521424,2746.925656901088
7478776,12272.535968049713
7521232,2748.637371232332
7506694,2545.604429838997
7483258,2540.780507632764
7455172,2547.1605337764913
7428247,9298.913108718512
7429606,5931.828808494345
7499368,2748.792981626081
7485442,2759.218878007294
7449307,2542.336611570259
7495336,2554.6298326764645
7489342,2946.846390419434
7506037,3148.945669450273
7441156,2553.6961703139677
7469758,2759.218878007294
7525351,2742.257345088605
7454731,6325.134638993561
7480498,2742.4129554823544
7513975,2947.780052781931
7456432,3150.034942206519
7468624,2757.818384463549
7500886,2747.7037088698353
7517695,2745.369552963594
7436128,2745.9919945385914
7442881,2946.0683384506874
7464016,2747.0812672948377
7436413,9100.081647956413
7497094,3154.547643625253
7524859,2760.46376115729
7466182,2948.402494356929
7517596,6526.611476449401
7431175,2948.5581047506785
7428631,2549.961520863981
7429102,5929.027821406855
7459060,2949.958598294423
7505986,9301.247264624755
7460566,2558.5200925202007
7525252,2947.9356631756805
7430389,6120.389983268982
7477387,2760.46376115729
7454431,2943.7341825444455
7523605,2746.4588257198398
7431205,2746.147604932341
7497907,3147.7007863002773
7519738,5923.737068019374
7481059,2745.369552963594
7465300,2945.29028648194
7521154,3146.7671239377805
7480990,2947.780052781931
7469551,2750.5046959573256
7484389,2559.1425340951982
7485268,2743.0353970573524
7490743,9100.54847913766
7480630,9100.081647956413
7505626,2547.1605337764913
7477417,5918.913145813141
7486360,2742.257345088605
7501990,2542.492221964008
7444468,2947.3132216006825
7473592,2742.257345088605
7444156,2945.29028648194
7514584,2545.2932090514983
7500697,2949.8029879006735
7482568,2949.958598294423
7511554,3150.034942206519
7459579,5934.629795581835
7440304,6322.022431118572
7489840,2758.907657219795
7467715,2759.9969299760414
7481275,6130.193438075197
7451527,2558.67570291395
7434337,6126.770009412709
7446280,2759.685709188542
7432927,6136.884685006423
7520536,2555.87471582646
7489237,3148.323227875275
7430860,2758.2852156447975
7484665,6123.657801537721
7463815,2745.369552963594
7515901,9302.025316593501
7468609,9111.596817093872
7484875,2744.435890601097
7466260,2742.4129554823544
7506643,2760.1525403697906
7511620,3150.034942206519
7481272,2953.382026956911
7491985,2747.0812672948377
7433899,6124.902684687716
7496254,2746.147604932341
7504741,3150.034942206519
7463818,2558.67570291395
7492828,3148.323227875275
7523680,6134.0836979189335
7480429,2558.2088717327015
7496350,6321.866820724823
7526059,2948.402494356929
7430443,2961.6293778256313
7438393,2747.0812672948377
7464805,12289.341890574653
7437700,3147.3895655127785
7519870,2960.073273888137
7472683,2743.813449026099
7438453,2953.070806169412
7465738,6136.884685006423
7521610,2760.1525403697906
7451200,2947.9356631756805
7476145,2961.0069362506338
7430365,2955.4049620756537
7501573,5735.3315036384865
7516123,2754.550566194811
7487263,2760.619371551039
7510885,2759.218878007294
7523347,2945.757117663188
7501813,2746.925656901088
7506715,2746.4588257198398
7434343,2543.892715507753
7469653,2743.813449026099
7443052,6138.129568156419
7506202,2549.805910470232
7430794,2757.5071636760504
7491883,3346.687857456127
7453213,2747.7037088698353
7430731,2747.0812672948377
7451905,2753.928124619813
7490137,3145.9890719690334
7521421,3149.8793318127696
7488496,2545.2932090514983
7481809,3348.866402968619
7448449,3352.1342212373575
7465618,9098.992375200167
7512412,2948.402494356929
7524505,2944.5122345131927
7495768,2743.813449026099
7453684,9298.913108718512
7469908,2754.0837350135625
7469104,2946.846390419434
7443169,5935.719068338081
7488802,9093.857232206436
7444357,2745.369552963594
7506523,9313.851706518459
7455640,2948.09127356943
7459246,2759.3744884010434
7441621,2946.846390419434
7491427,3145.3666303940354
7448578,3150.034942206519
7491358,2945.1346760881906
7445896,2755.9510597385556
7483549,9096.813829687675
7485187,2948.2468839631792
7434931,2943.889792938195
7508467,2759.3744884010434
7458007,3150.034942206519
7518313,2743.813449026099
7466752,2742.257345088605
7447399,2948.5581047506785
7486099,2742.257345088605
7467226,2752.9944622573166
7441057,2743.813449026099
7479199,2946.846390419434
7432009,6526.611476449401
7449097,2743.813449026099
7503670,3146.7671239377805
7506463,2552.1400663764734
7506022,2558.67570291395
7462528,2948.5581047506785
7523482,2946.846390419434
7479346,2743.813449026099
7451539,9108.017778037634
7504639,6125.213905475215
7453471,2945.29028648194
7516201,6136.262243431425
7511563,3150.034942206519
7516087,2746.925656901088
7438609,2947.6244423881817
7509514,2743.813449026099
7457035,2750.349085563576
7502713,5936.18589951933
7436626,2948.402494356929
7451545,5935.8746787318305
7512487,6122.1016976002265
7455064,6125.836347050213
7503673,6326.846353324805
7437424,5934.474185188086
7503118,2948.5581047506785
7455013,2747.0812672948377
7453801,2948.402494356929
7467190,2545.604429838997
7489513,2742.8797866636028
7481515,2945.29028648194
7504852,2948.2468839631792
